productNameAmazon,itemURLAmazon,productTypeAmazon,productCategoryAmazon,availabilityAmazon,categoryRankAmazon,priceAmazon,titleEbay,itemURLEbay,locationEbay,shippingCostEbay,conditionEbay,categoryEbay,priceEbay,currencyEbay
Cisco CAB-MIC-T60EXT= Extension cable 9m for Tabl FD,https://www.amazon.ae/Cisco-CAB-MIC-T60EXT-Extension-cable-Tabl/dp/B00QAY4NOY,[],Industrial & Scientific,[],[],,"CISCO Telepresence Table Microphone CAB-MIC-T60EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Telepresence-Table-Microphone-CAB-MIC-T60EXT-extension-cable-NEW-/192885846374,"Chicago,IL,USA",,New,Conference Equipment,29.95,
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#161 in Computer Microphones,46.95,CISCO external Table Microphone for audio conferencing,https://www.ebay.com/itm/CISCO-external-Table-Microphone-audio-conferencing-/192527707042,"Chicago,IL,USA",,New,Conference Equipment,149.95,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,Cisco TelePresence Conference Microphone CTS-MIC 74-4743-05AO -Cable 37-0931-01,https://www.ebay.com/itm/Cisco-TelePresence-Conference-Microphone-CTS-MIC-74-4743-05AO-Cable-37-0931-01-/222711053270,"North Wales,PA,USA",,New,Conference Equipment,8.0,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,Cisco TelePresence Conference Microphone CTS-MIC 74-4743-05AO -Cable 37-0931-01,https://www.ebay.com/itm/Cisco-TelePresence-Conference-Microphone-CTS-MIC-74-4743-05AO-Cable-37-0931-01-/372129857995,"North Wales,PA,USA",,New,Conference Equipment,8.0,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,CISCO CTS-MIC 74-4743-05 TelePresence Microphone,https://www.ebay.com/itm/CISCO-CTS-MIC-74-4743-05-TelePresence-Microphone-/272621356422,"Chula Vista,CA,USA",,New,Conference Equipment,29.92,
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#161 in Computer Microphones,46.95,NEW Cisco CP-7937-MIC-KIT IP Conference Station Microphone - Fast Shipping!,https://www.ebay.com/itm/NEW-Cisco-CP-7937-MIC-KIT-IP-Conference-Station-Microphone-Fast-Shipping-/283633179112,"Dunnsville,VA,USA",,New,Conference Equipment,39.99,
Cisco Systems CAB-MIC-T20EXT= Mic20 Extention Cable 33ft,https://www.amazon.ae/Cisco-Systems-CAB-MIC-T20EXT-Mic20-Extention/dp/B073RHH821,[],Computers,[],[],,"CISCO Table Microphone CAB-MIC-T20EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Table-Microphone-CAB-MIC-T20EXT-extension-cable-NEW-/153680120053,"Dacula,GA,USA",,New,Conference Equipment,17.99,
Cisco 7937 Microphone Kit CP-7937-MIC-KIT,https://www.amazon.com/Cisco-7937-Microphone-Kit-CP-7937-MIC-KIT/dp/B005MQMWV2,VoIP,Office Products,$44.00,[],44.0,Cisco microphone kit for CP-7937G CP-7937-MIC-KIT 74-5090-01 NIB,https://www.ebay.com/itm/Cisco-microphone-kit-CP-7937G-CP-7937-MIC-KIT-74-5090-01-NIB-/362511451950,USA,,New,Conference Equipment,75.0,
"Cisco - CP-7937-MIC-KIT= - Cisco - Microphone (pack of 2 ) - for IP Conference Station 7937G,",https://www.amazon.com/Cisco-CP-7937-MIC-KIT-Microphone-Conference-Station/dp/B007MOITNW,VoIP,Office Products,[],"#1,263 in VoIP Phones",,GENUINE NEW CISCO CP-7937-MIC-KIT IP CONFERENCE STATION MICROPHONE KIT FOR B1,https://www.ebay.com/itm/GENUINE-NEW-CISCO-CP-7937-MIC-KIT-IP-CONFERENCE-STATION-MICROPHONE-KIT-B1-/174053684255,"Waldport,OR,USA",,New,Conference Equipment,15.0,
"Cisco - CP-7937-MIC-KIT= - Cisco - Microphone (pack of 2 ) - for IP Conference Station 7937G,",https://www.amazon.com/Cisco-CP-7937-MIC-KIT-Microphone-Conference-Station/dp/B007MOITNW,VoIP,Office Products,[],"#1,263 in VoIP Phones",,New Sealed Cisco CP 7937 MIC KIT,https://www.ebay.com/itm/New-Sealed-Cisco-CP-7937-MIC-KIT-/123924269665,"Santa Fe Springs,CA,USA",,New,Conference Equipment,39.99,
Cisco Systems CAB-MIC-T20EXT= Mic20 Extention Cable 33ft,https://www.amazon.ae/Cisco-Systems-CAB-MIC-T20EXT-Mic20-Extention/dp/B073RHH821,[],Computers,[],[],,"CISCO Table Microphone CAB-MIC-T20EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Table-Microphone-CAB-MIC-T20EXT-extension-cable-NEW-/254387450073,"Staten Island,NY,USA",,New,Conference Equipment,26.99,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,CISCO CTS-MIC 74-4743-05 TelePresence Microphone & NEW CISCO 37-0931-01 Cable,https://www.ebay.com/itm/CISCO-CTS-MIC-74-4743-05-TelePresence-Microphone-NEW-CISCO-37-0931-01-Cable-/182271176728,"Petaluma,CA,USA",,New,Conference Equipment,79.0,
Cisco CAB-MIC-T60EXT= Extension cable 9m for Tabl FD,https://www.amazon.com/Cisco-CAB-MIC-T60EXT-Extension-cable-Tabl/dp/B00QAY4NOY,[],Industrial & Scientific,$20.00,"#39,813 in Interconnects",20.0,"CISCO Telepresence Table Microphone CAB-MIC-T60EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Telepresence-Table-Microphone-CAB-MIC-T60EXT-extension-cable-NEW-/192885846374,"Chicago,IL,USA",,New,Conference Equipment,29.95,
Cisco 7937G Series CP-7937-MIC-KIT= Conference Station External Microphone Kit 2201-40140-001,https://www.amazon.com/CP-7937-MIC-KIT-Conference-External-Microphone-2201-40140-001/dp/B072F7DQRZ,[],[],[],[],,CISCO CP-7937-MIC-KIT FOR CISCO 7937G VOIP PHONE CP-7937-MIC-KIT New,https://www.ebay.com/itm/CISCO-CP-7937-MIC-KIT-CISCO-7937G-VOIP-PHONE-CP-7937-MIC-KIT-New-/202771656948,"Hot Springs National Park,AR,USA",,New,Conference Equipment,45.0,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,Cisco TelePresence Conference Microphone CTS-MIC 74-4743-05AO -Cable 37-0931-01,https://www.ebay.com/itm/Cisco-TelePresence-Conference-Microphone-CTS-MIC-74-4743-05AO-Cable-37-0931-01-/222711053270,"North Wales,PA,USA",,New,Conference Equipment,8.0,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,Cisco TelePresence Conference Microphone CTS-MIC 74-4743-05AO -Cable 37-0931-01,https://www.ebay.com/itm/Cisco-TelePresence-Conference-Microphone-CTS-MIC-74-4743-05AO-Cable-37-0931-01-/372129857995,"North Wales,PA,USA",,New,Conference Equipment,8.0,
Cisco Systems CTS-SX20N-P40-K9 SX20 Quick with P40 Camera 1 Microphone Remote Control,https://www.amazon.com/Cisco-Systems-CTS-SX20N-P40-K9-Microphone-Control/dp/B01M7STUXJ,VoIP,Office Products,"$4,338.53",[],,"NEW Cisco CTS-SX20N-P40-K9 Video Conference Telepresence SX20 w/ P40 Cam, 1 mic",https://www.ebay.com/itm/NEW-Cisco-CTS-SX20N-P40-K9-Video-Conference-Telepresence-SX20-w-P40-Cam-1-mic-/113858887579,"Miami,FL,USA",,New,Conference Equipment,2972.33,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,CISCO CTS-MIC 74-4743-05 TelePresence Microphone,https://www.ebay.com/itm/CISCO-CTS-MIC-74-4743-05-TelePresence-Microphone-/272621356422,"Chula Vista,CA,USA",,New,Conference Equipment,29.92,
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#161 in Computer Microphones,46.95,(Lot of 3) Cisco Unified 7937G Microphone Kit CP-7937-MIC-KIT - 1 Year Warranty!,https://www.ebay.com/itm/Lot-3-Cisco-Unified-7937G-Microphone-Kit-CP-7937-MIC-KIT-1-Year-Warranty-/333373974681,"Minneapolis,MN,USA",,New,Conference Equipment,125.0,
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#161 in Computer Microphones,46.95,NEW Cisco CP-7937-MIC-KIT IP Conference Station Microphone - Fast Shipping!,https://www.ebay.com/itm/NEW-Cisco-CP-7937-MIC-KIT-IP-Conference-Station-Microphone-Fast-Shipping-/283633179112,"Dunnsville,VA,USA",,New,Conference Equipment,39.99,
Cisco CAB-MIC-T60EXT= Extension cable 9m for Tabl FD,https://www.amazon.com/Cisco-CAB-MIC-T60EXT-Extension-cable-Tabl/dp/B00QAY4NOY,[],Industrial & Scientific,$20.00,"#39,813 in Interconnects",20.0,"CISCO Telepresence Table Microphone CAB-MIC-T60EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Telepresence-Table-Microphone-CAB-MIC-T60EXT-extension-cable-NEW-/202756026476,"West Chicago,IL,USA",,New,Conference Equipment,25.0,
Cisco Systems CAB-MIC-T20EXT= Mic20 Extention Cable 33ft,https://www.amazon.ae/Cisco-Systems-CAB-MIC-T20EXT-Mic20-Extention/dp/B073RHH821,[],Computers,[],[],,"CISCO Table Microphone CAB-MIC-T20EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Table-Microphone-CAB-MIC-T20EXT-extension-cable-NEW-/153680120053,"Dacula,GA,USA",,New,Conference Equipment,17.99,
Cisco CP-8831-K9= Unified IP Conference Phone Base and Control Unit,https://www.amazon.com/Cisco-CP-8831-K9-Unified-Conference-Control/dp/B01M3T2ZE5,VoIP,Office Products,$450.57,[],450.57,NEW Cisco 8831 Wireless Microphone Kit for IP Conference Phone CP-8831 (A848410),https://www.ebay.com/itm/NEW-Cisco-8831-Wireless-Microphone-Kit-IP-Conference-Phone-CP-8831-A848410-/383169611472,"Oklahoma City,OK,USA",,New,Conference Equipment,244.11,
"Cisco - CP-7937-MIC-KIT= - Cisco - Microphone (pack of 2 ) - for IP Conference Station 7937G,",https://www.amazon.com/Cisco-CP-7937-MIC-KIT-Microphone-Conference-Station/dp/B007MOITNW,VoIP,Office Products,[],"#1,263 in VoIP Phones",,GENUINE NEW CISCO CP-7937-MIC-KIT IP CONFERENCE STATION MICROPHONE KIT FOR B1,https://www.ebay.com/itm/GENUINE-NEW-CISCO-CP-7937-MIC-KIT-IP-CONFERENCE-STATION-MICROPHONE-KIT-B1-/174053684255,"Waldport,OR,USA",,New,Conference Equipment,15.0,
"Cisco - CP-7937-MIC-KIT= - Cisco - Microphone (pack of 2 ) - for IP Conference Station 7937G,",https://www.amazon.com/Cisco-CP-7937-MIC-KIT-Microphone-Conference-Station/dp/B007MOITNW,VoIP,Office Products,[],"#1,263 in VoIP Phones",,Cisco microphone kit for CP-7937G CP-7937-MIC-KIT 74-5090-01 NIB,https://www.ebay.com/itm/Cisco-microphone-kit-CP-7937G-CP-7937-MIC-KIT-74-5090-01-NIB-/362511451950,USA,,New,Conference Equipment,75.0,
Cisco Telepresence Table Mic 20 - microphone CTS-MIC-TABL20 with Console Cable by Visipax,https://www.amazon.com/Cisco-Telepresence-Table-Mic-CTS-MIC-TABL20/dp/B01M16WIGQ,Audio Conferencing,Office Products,[],[],,Cisco Systems CTS-MIC-TABL20= Telepresence Table Mic 20 (ctsmictabl20=),https://www.ebay.com/itm/Cisco-Systems-CTS-MIC-TABL20-Telepresence-Table-Mic-20-ctsmictabl20-/233215672841,"Jonestown,PA,USA",,New,Conference Equipment,367.19,
Cisco CAB-MIC-T60EXT= Extension cable 9m for Tabl FD,https://www.amazon.com/Cisco-CAB-MIC-T60EXT-Extension-cable-Tabl/dp/B00QAY4NOY,[],Industrial & Scientific,$20.00,"#39,813 in Interconnects",20.0,"CISCO Telepresence Table Microphone CAB-MIC-T60EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Telepresence-Table-Microphone-CAB-MIC-T60EXT-extension-cable-NEW-/163763821804,"Olive Branch,MS,USA",,New,Conference Equipment,25.0,
Cisco Systems CAB-MIC-T20EXT= Mic20 Extention Cable 33ft,https://www.amazon.ae/Cisco-Systems-CAB-MIC-T20EXT-Mic20-Extention/dp/B073RHH821,[],Computers,[],[],,"CISCO Table Microphone CAB-MIC-T20EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Table-Microphone-CAB-MIC-T20EXT-extension-cable-NEW-/254387450073,"Staten Island,NY,USA",,New,Conference Equipment,26.99,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,CISCO CTS-MIC 74-4743-05 TelePresence Microphone & NEW CISCO 37-0931-01 Cable,https://www.ebay.com/itm/CISCO-CTS-MIC-74-4743-05-TelePresence-Microphone-NEW-CISCO-37-0931-01-Cable-/182271176728,"Petaluma,CA,USA",,New,Conference Equipment,79.0,
"Cisco - CP-7937-MIC-KIT= - Cisco - Microphone (pack of 2 ) - for IP Conference Station 7937G,",https://www.amazon.com/Cisco-CP-7937-MIC-KIT-Microphone-Conference-Station/dp/B007MOITNW,VoIP,Office Products,[],"#1,263 in VoIP Phones",,CISCO CP-7937-MIC-KIT FOR CISCO 7937G VOIP PHONE CP-7937-MIC-KIT New,https://www.ebay.com/itm/CISCO-CP-7937-MIC-KIT-CISCO-7937G-VOIP-PHONE-CP-7937-MIC-KIT-New-/202771656948,"Hot Springs National Park,AR,USA",,New,Conference Equipment,45.0,
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#161 in Computer Microphones,46.95,CISCO external Table Microphone for audio conferencing,https://www.ebay.com/itm/CISCO-external-Table-Microphone-audio-conferencing-/192527707042,"Chicago,IL,USA",,New,Conference Equipment,149.95,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,Cisco TelePresence Conference Microphone CTS-MIC 74-4743-05AO -Cable 37-0931-01,https://www.ebay.com/itm/Cisco-TelePresence-Conference-Microphone-CTS-MIC-74-4743-05AO-Cable-37-0931-01-/222711053270,"North Wales,PA,USA",,New,Conference Equipment,8.0,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,Cisco TelePresence Conference Microphone CTS-MIC 74-4743-05AO -Cable 37-0931-01,https://www.ebay.com/itm/Cisco-TelePresence-Conference-Microphone-CTS-MIC-74-4743-05AO-Cable-37-0931-01-/372129857995,"North Wales,PA,USA",,New,Conference Equipment,8.0,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,CISCO CTS-MIC 74-4743-05 TelePresence Microphone,https://www.ebay.com/itm/CISCO-CTS-MIC-74-4743-05-TelePresence-Microphone-/272621356422,"Chula Vista,CA,USA",,New,Conference Equipment,29.92,
