productNameAmazon,itemURLAmazon,productTypeAmazon,productCategoryAmazon,availabilityAmazon,categoryRankAmazon,priceAmazon,titleEbay,itemURLEbay,locationEbay,shippingCostEbay,conditionEbay,categoryEbay,priceEbay,currencyEbay,margin,amazonPrice,roi
Cisco CP-7936 Audio Conference IP Phone Station,https://www.amazon.com/Cisco-CP-7936-Audio-Conference-Station/dp/B07FML9BPP,VoIP,Office Products,$75.99,#416 in VoIP Phones,75.99,2 New Cisco CP-7936-MIC-KIT Conference External Microphone,https://www.ebay.com/itm/2-New-Cisco-CP-7936-MIC-KIT-Conference-External-Microphone-/322933999850,"Moreno Valley,CA,USA",,New – Open box,Conference Equipment,37.99,,38,75.99,1.00026322716504
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#154 in Computer Microphones,46.95,*NEW* Cisco CP-7937-MIC-KIT IP Conference Station Microphone Kit (B343),https://www.ebay.com/itm/NEW-Cisco-CP-7937-MIC-KIT-IP-Conference-Station-Microphone-Kit-B343-/362781404596,"Houston,TX,USA",,New – Open box,Conference Equipment,24.95,,22,46.95,0.881763527054108
Cisco CP-8831-K9= Unified IP Conference Phone Base and Control Unit,https://www.amazon.com/Cisco-CP-8831-K9-Unified-Conference-Control/dp/B00DVXW704,VoIP,Office Products,$455.23,[],455.23,NEW Cisco 8831 Wireless Microphone Kit for IP Conference Phone CP-8831 (A848410),https://www.ebay.com/itm/NEW-Cisco-8831-Wireless-Microphone-Kit-IP-Conference-Phone-CP-8831-A848410-/383169611472,"Oklahoma City,OK,USA",,New,Conference Equipment,244.11,,211.12,455.23,0.864856007537586
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#154 in Computer Microphones,46.95,Genuine Cisco CP-7937 Mic Kit Brand New Open Box #74-5090-01,https://www.ebay.com/itm/Genuine-Cisco-CP-7937-Mic-Kit-Brand-New-Open-Box-74-5090-01-/332692477938,"Williamsport,PA,USA",,New – Open box,Conference Equipment,29,,17.95,46.95,0.618965517241379
Cisco Systems CAB-MIC-T20EXT= Mic20 Extention Cable 33ft,https://www.amazon.com/Cisco-Systems-CAB-MIC-T20EXT-Mic20-Extention/dp/B073RHH821,Cables & Interconnects,Electronics,$27.93,[],27.93,"CISCO Table Microphone CAB-MIC-T20EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Table-Microphone-CAB-MIC-T20EXT-extension-cable-NEW-/153680120053,"Dacula,GA,USA",,New,Conference Equipment,17.99,,9.94,27.93,0.552529182879378
"Mitel 5330E IP Phone, PoE, Gigabit (50006476) (Renewed)",https://www.amazon.com/Mitel-5330E-Gigabit-50006476-Renewed/dp/B07TBH97JC,VoIP,Office Products,$99.00,[],99,Mitel 50006476 IP Business Phone Model 5330-New In Open Box,https://www.ebay.com/itm/Mitel-50006476-IP-Business-Phone-Model-5330-New-Open-Box-/323965123980,"Concord,NC,USA",,New – Open box,Business Phone Sets & Handsets,71,,28,99,0.394366197183099
Cisco CAB-MIC20-EXT= Standard Microphone Extension Cable,https://www.amazon.com/Cisco-CAB-MIC20-EXT-Standard-Microphone-Extension/dp/B00AAB53GK,Headphone Accessories,Electronics,$19.99,[],19.99,CAB-MIC20-EXT= Cisco  Standard Microphone Extension Cable CAB-MIC20-EXT,https://www.ebay.com/itm/CAB-MIC20-EXT-Cisco-Standard-Microphone-Extension-Cable-CAB-MIC20-EXT-/352342912040,"Lynnwood,WA,USA",,New,Conference Equipment,14.99,,5,19.99,0.333555703802535
"Cisco CP-7937G Unified IP Conference Station VoIP phone POE, Requires Cisco Communications Manager (Renewed) (Power Supply Not Included), Charcoal Black",https://www.amazon.com/Cisco-Conference-Communications-Certified-Refurbished/dp/B01K72RS46,VoIP,Office Products,$39.99,#352 in VoIP Phones,39.99,Cisco CP-7937 74-5090-01 IP Conference Station Microphone Kit New Other,https://www.ebay.com/itm/Cisco-CP-7937-74-5090-01-IP-Conference-Station-Microphone-Kit-New-Other-/264414667365,"Austin,TX,USA",,New – Open box,Conference Equipment,29.99,,10,39.99,0.333444481493831
"Mitel Wireless DECT Headset for Mitel MiVoice 6930, 6940 Phones | This Headset is only Compatible with 6930 and 6940 Mitel Models | mitel Part #51305332",https://www.amazon.com/Mitel-Wireless-Headset-Compatible-51305332/dp/B07LFFLLKS,VoIP,Office Products,$251.00,[],251,*NEW F/S* Mitel MiVoice 6930 IP Phone (50006769) - *New*,https://www.ebay.com/itm/NEW-F-S-Mitel-MiVoice-6930-IP-Phone-50006769-New-/123846032810,"Anaheim,CA,USA",,New,VoIP Business Phones/IP PBX,190,,61,251,0.321052631578947
Mitel 5320e IP Phone,https://www.amazon.com/Mitel-5320-5320e-IP-Phone/dp/B00IRL6RTC,VoIP,Office Products,In Stock.,[],155.74,Mitel Mivoice 5320e Backlit IP Phone (50006634) - New - Bulk,https://www.ebay.com/itm/Mitel-Mivoice-5320e-Backlit-IP-Phone-50006634-New-Bulk-/174038561338,"Beaumont,TX,USA",,New,Business Phone Sets & Handsets,120,,35.74,155.74,0.297833333333333
Mitel 5340 Dual Mode IP Phone (50005071) (Renewed),https://www.amazon.com/Mitel-Phone-50005071-REFURBISHED-WARRANTY/dp/B01LXDE1FZ,VoIP,Office Products,Only 2 left in stock - order soon.,#779 in VoIP Phones,98.55,NEW MITEL 5340 IP Dual Mode Backlit Phone FREE FAST SHIPPING,https://www.ebay.com/itm/NEW-MITEL-5340-IP-Dual-Mode-Backlit-Phone-FREE-FAST-SHIPPING-/233324568979,"Miami,FL,USA",,New,Business Phone Sets & Handsets,77.77,,20.78,98.55,0.267198148386267
"Mitel Wireless DECT Headset for Mitel MiVoice 6930, 6940 Phones | This Headset is only Compatible with 6930 and 6940 Mitel Models | mitel Part #51305332",https://www.amazon.com/Mitel-Wireless-Headset-Compatible-51305332/dp/B07LFFLLKS,VoIP,Office Products,$251.00,[],251,Mitel 6930 IP Phone (50006769) - NEW,https://www.ebay.com/itm/Mitel-6930-IP-Phone-50006769-NEW-/283251060881,"Troy,MI,USA",,New,Business Phone Sets & Handsets,204.99,,46.01,251,0.224449973169423
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#154 in Computer Microphones,46.95,NEW Cisco CP-7937-MIC-KIT IP Conference Station Microphone - Fast Shipping!,https://www.ebay.com/itm/NEW-Cisco-CP-7937-MIC-KIT-IP-Conference-Station-Microphone-Fast-Shipping-/283633179112,"Dunnsville,VA,USA",,New,Conference Equipment,39.99,,6.96,46.95,0.174043510877719
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#154 in Computer Microphones,46.95,New Sealed Cisco CP 7937 MIC KIT,https://www.ebay.com/itm/New-Sealed-Cisco-CP-7937-MIC-KIT-/123924269665,"Santa Fe Springs,CA,USA",,New,Conference Equipment,39.99,,6.96,46.95,0.174043510877719
Mitel 50005521 (DECT Module) Module (for 5330 and 5340),https://www.amazon.com/Mitel-50005521-DECT-Module-5330/dp/B07CSQTFFK,[],Office Products,$199.00,[],199,NEW Mitel 50005521 Cordless Accessories Module (NA),https://www.ebay.com/itm/NEW-Mitel-50005521-Cordless-Accessories-Module-NA-/382557984830,"La Verne,CA,USA",,New,Business Phone Sets & Handsets,186.99,,12.01,199,0.064228033584684
Cisco Systems CAB-MIC-T20EXT= Mic20 Extention Cable 33ft,https://www.amazon.com/Cisco-Systems-CAB-MIC-T20EXT-Mic20-Extention/dp/B073RHH821,Cables & Interconnects,Electronics,$27.93,[],27.93,"CISCO Table Microphone CAB-MIC-T20EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Table-Microphone-CAB-MIC-T20EXT-extension-cable-NEW-/254387450073,"Staten Island,NY,USA",,New,Conference Equipment,26.99,,0.940000000000001,27.93,0.034827713968136
Cisco CAB-MIC-T60EXT= Extension cable 9m for Tabl FD,https://www.amazon.com/Cisco-CAB-MIC-T60EXT-Extension-cable-Tabl/dp/B00QAY4NOY,[],Industrial & Scientific,$20.00,"#39,022 in Interconnects",20,New Cisco Telepresence TableTop Microphone Extension cable CAB-MIC-T60EXT,https://www.ebay.com/itm/New-Cisco-Telepresence-TableTop-Microphone-Extension-cable-CAB-MIC-T60EXT-/113860089693,"Saint Charles,MO,USA",,New – Open box,Conference Equipment,19.98,,0.02,20,0.001001001001001
"Mitel 5200/5300 Compatible Handset. Fits 5304, 5312, 5320, 5320e, 5324, 5330, 5330e, 5340, 5340e, and 5360",https://www.amazon.com/Mitel-Compatible-Handset-5320e-5330e/dp/B076VWS8RS,VoIP,Office Products,$14.99,[],14.99,"Mitel Wall Mount Kit for 5302 & 5304 IP Phone, 50005663, New",https://www.ebay.com/itm/Mitel-Wall-Mount-Kit-5302-5304-IP-Phone-50005663-New-/232970025127,"Gardiner,ME,USA",,New,Business Phone Sets & Handsets,15.5,,-0.51,14.99,-0.032903225806452
"Mitel 5330E IP Phone, PoE, Gigabit (50006476)",https://www.amazon.com/Mitel-5330E-Phone-Gigabit-50006476/dp/B07P15VNVL,VoIP,Office Products,In Stock.,[],176.75,Mitel 5330E IP VoIP Phone Gigabit (50006476) - NEW,https://www.ebay.com/itm/Mitel-5330E-IP-VoIP-Phone-Gigabit-50006476-NEW-/231350252116,"Troy,MI,USA",,New,Business Phone Sets & Handsets,189.95,,-13.2,176.75,-0.069491971571466
Mitel Networks 6873I SIP PHONE 50006790,https://www.amazon.com/Mitel-Networks-6873I-PHONE-50006790/dp/B01EARLDF4,VoIP,Office Products,Only 18 left in stock - order soon.,#376 in VoIP Phones,303,NEW Mitel 6873i SIP Phone (50006790),https://www.ebay.com/itm/NEW-Mitel-6873i-SIP-Phone-50006790-/112144774564,"La Verne,CA,USA",,New,Business Phone Sets & Handsets,335,,-32,303,-0.095522388059702
Cisco Wired Microphone Kit - microphone (CP-8832-MIC-WIRED=),https://www.amazon.com/Cisco-Wired-Microphone-Kit-CP-8832-MIC-WIRED/dp/B078XF9LHG,[],Electronics,$135.00,"#19,441 in Televisions & Video Products",135,Cisco Microphone,https://www.ebay.com/itm/Cisco-Microphone-/292992902662,"Atlanta,GA,USA",,New,Microphones & Wireless Systems,157.89,,-22.89,135,-0.144974349230477
"Cisco Microphone CTS-MIC-TABL60 for Cisco SX80, MX700, and MX800",https://www.amazon.com/Cisco-Microphone-CTS-MIC-TABL60-MX700-MX800/dp/B01N2ZKOPA,[],Office Products,Only 7 left in stock - order soon.,[],325.25,Cisco Telepresence Table Microphone 60 Pn: CTS-MIC-TABL60,https://www.ebay.com/itm/Cisco-Telepresence-Table-Microphone-60-Pn-CTS-MIC-TABL60-/303169991930,"Elmhurst,IL,USA",,New – Open box,Conference Equipment,386,,-60.75,325.25,-0.157383419689119
"Mitel 5220 IP Phone (50002818, 50003791) (Certified Refurbished)",https://www.amazon.com/Mitel-50002818-50003791-Certified-Refurbished/dp/B07MFZWQBL,VoIP,Office Products,$41.98,[],41.98,New Mitel 5220 VOIP Phone 50002818 Dark Grey Business Office Phone 56004352,https://www.ebay.com/itm/New-Mitel-5220-VOIP-Phone-50002818-Dark-Grey-Business-Office-Phone-56004352-/183997616808,"Phoenix,AZ,USA",,New – Open box,Business Phone Sets & Handsets,49.99,,-8.01000000000001,41.98,-0.160232046409282
Cisco CAB-MIC-T60EXT= Extension cable 9m for Tabl FD,https://www.amazon.com/Cisco-CAB-MIC-T60EXT-Extension-cable-Tabl/dp/B00QAY4NOY,[],Industrial & Scientific,$20.00,"#39,022 in Interconnects",20,"CISCO Telepresence Table Microphone CAB-MIC-T60EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Telepresence-Table-Microphone-CAB-MIC-T60EXT-extension-cable-NEW-/202756026476,"West Chicago,IL,USA",,New,Conference Equipment,25,,-5,20,-0.2
Cisco CAB-MIC-T60EXT= Extension cable 9m for Tabl FD,https://www.amazon.com/Cisco-CAB-MIC-T60EXT-Extension-cable-Tabl/dp/B00QAY4NOY,[],Industrial & Scientific,$20.00,"#39,022 in Interconnects",20,"CISCO Telepresence Table Microphone CAB-MIC-T60EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Telepresence-Table-Microphone-CAB-MIC-T60EXT-extension-cable-NEW-/163763821804,"Olive Branch,MS,USA",,New,Conference Equipment,25,,-5,20,-0.2
Mitel 5320e (50006634) (Renewed),https://www.amazon.com/Mitel-5320e-50006634-Certified-Refurbished/dp/B07FFZJQRX,VoIP,Office Products,$68.75,#273 in VoIP Phones,68.75,*NEW* Mitel 5320e IP Phone (Backlit) Office Desk Phone 50006634 FREE SHIPPING,https://www.ebay.com/itm/NEW-Mitel-5320e-IP-Phone-Backlit-Office-Desk-Phone-50006634-FREE-SHIPPING-/323927764196,"Birmingham,AL,USA",,New – Open box,Business Phone Sets & Handsets,89,,-20.25,68.75,-0.22752808988764
Mitel 5320e IP Phone (Renewed) (Power Supply Not Included),https://www.amazon.com/Mitel-5320e-Phone-Certified-Refurbished/dp/B07DRQ63SZ,VoIP,Office Products,$68.93,#619 in VoIP Phones,68.93,Mitel 5320e VoIP IP Phone Gigabit Telephone Backlit 50006634 New Sealed,https://www.ebay.com/itm/Mitel-5320e-VoIP-IP-Phone-Gigabit-Telephone-Backlit-50006634-New-Sealed-/174078409244,"Santee,CA,USA",,New,Business Phone Sets & Handsets,99.99,,-31.06,68.93,-0.31063106310631
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#154 in Computer Microphones,46.95,Cisco microphone kit for CP-7937G CP-7937-MIC-KIT 74-5090-01 NIB,https://www.ebay.com/itm/Cisco-microphone-kit-CP-7937G-CP-7937-MIC-KIT-74-5090-01-NIB-/362511451950,USA,,New,Conference Equipment,75,,-28.05,46.95,-0.374
Cisco 8832 Wireless Microphone Kit (CP-8832-MIC-WLS=),https://www.amazon.com/Cisco-8832-Wireless-Microphone-CP-8832-MIC-WLS/dp/B07HLTJNBR,Audio Conferencing,Office Products,$289.00,[],289,Cisco 8832 Wireless Microphone Kit (CP-8832-MIC-WLS=),https://www.ebay.com/itm/Cisco-8832-Wireless-Microphone-Kit-CP-8832-MIC-WLS-/293085302341,"Atlanta,GA,USA",,New,Microphones & Wireless Systems,517.14,,-228.14,289,-0.441157133464826
Mitel 5310 IP Conference Saucer - Dark Grey Part# 50004459 NEW (Renewed),https://www.amazon.com/Mitel-5310-IP-Conference-Saucer/dp/B07JH87JQ2,VoIP,Office Products,$74.99,"#1,570 in VoIP Phones",74.99,"""NEW"" Mitel (50004461) 5310 IP Conference Side Control (5220)",https://www.ebay.com/itm/NEW-Mitel-50004461-5310-IP-Conference-Side-Control-5220-/153606610801,"Pleasant Grove,UT,USA",,New,Business Phone Sets & Handsets,150,,-75.01,74.99,-0.500066666666667
Mitel MiVoice Conference Phone UC360 Audio Variant Model (50006580) - (New Open Box),https://www.amazon.com/Mitel-MiVoice-Conference-Variant-50006580/dp/B07XM8W5FC,PBX Phones & Systems,Office Products,$389.00,[],389,NEW Mitel 50006580 UC360 MiVoice VoIP Conference Phone,https://www.ebay.com/itm/NEW-Mitel-50006580-UC360-MiVoice-VoIP-Conference-Phone-/113237208799,"La Verne,CA,USA",,New,Business Phone Sets & Handsets,965,,-576,389,-0.596891191709844
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#154 in Computer Microphones,46.95,NEW CISCO CP-7937-MIC-KIT Microphone Kit for IP Conference Station,https://www.ebay.com/itm/NEW-CISCO-CP-7937-MIC-KIT-Microphone-Kit-IP-Conference-Station-/222009655274,"Plano,TX,USA",,New – Open box,Conference Equipment,200,,-153.05,46.95,-0.76525
ABLEGRID AC/DC Adapter for Cisco Tandberg TTC5-06 TTC5-01 TTC5-11 TTC5-07 Video Phone Microphone Conference Conferencing System Cord Cable PS Wall Home Mains PSU,https://www.amazon.com/ABLEGRID-Tandberg-Microphone-Conference-Conferencing/dp/B06WCZWW6G,AC Adapters,Electronics,$19.98,[],19.98,CISCO Telepresence CTS-MIC-TABLE-J TTC5-06 HET225000XQ New Open Box Save Huge,https://www.ebay.com/itm/CISCO-Telepresence-CTS-MIC-TABLE-J-TTC5-06-HET225000XQ-New-Open-Box-Save-Huge-/293306303782,"Northwood,OH,USA",,New – Open box,Conference Equipment,100,,-80.02,19.98,-0.8002
PK Power AC/DC Adapter for Cisco Tandberg TTC5-06 TTC5-01 TTC5-11 TTC5-07 Video Phone Microphone Conference Conferencing System Power Supply Cord Cable PS Wall Home Charger Mains PSU,https://www.amazon.com/PK-Power-Microphone-Conference-Conferencing/dp/B06X9GJY67,AC Adapters,Electronics,$20.89,[],20.89,Cisco Tandberg TTC5-06 Video Conferencing Tabletop Microphone for C20 SX20 SX80,https://www.ebay.com/itm/Cisco-Tandberg-TTC5-06-Video-Conferencing-Tabletop-Microphone-C20-SX20-SX80-/133228952764,"Collingswood,NJ,USA",,New – Open box,Conference Equipment,150,,-129.11,20.89,-0.860733333333334
"Cisco CTS-MIC-TABL60= Telepresence Table Microphone 60 for SX-80,MX700,MX800",https://www.amazon.com/Cisco-CTS-MIC-TABL60-Telepresence-Table-Microphone/dp/B00YHH2CJY,Audio & Video Accessories,Electronics,[],[],,"NEW Cisco TelePresence Table Microphone 60 - Room 70 SX80, MX700, MX800",https://www.ebay.com/itm/NEW-Cisco-TelePresence-Table-Microphone-60-Room-70-SX80-MX700-MX800-/273956458755,"Georgetown,IN,USA",,New – Open box,Conference Equipment,74.99,,-74.99,0,-1
Cisco Telepresence Table Mic 20 - microphone CTS-MIC-TABL20 with Console Cable by Visipax,https://www.amazon.com/Cisco-Telepresence-Table-Mic-CTS-MIC-TABL20/dp/B01M16WIGQ,Audio Conferencing,Office Products,[],[],,Cisco Microphone,https://www.ebay.com/itm/Cisco-Microphone-/292442970808,"Rowland Heights,CA,USA",,New,Conference Equipment,417.3,,-417.3,0,-1
Cisco CTS-QSC20-MIC= Telepresence Precision Microphone 20,https://www.amazon.com/Cisco-CTS-QSC20-MIC-Telepresence-Precision-Microphone/dp/B005FUYDVW,Audio & Video Accessories,Electronics,[],[],,Cisco Telepresence Precision Microphone 20  CTS-QSC20-MIC= For C20 SX20 codec,https://www.ebay.com/itm/Cisco-Telepresence-Precision-Microphone-20-CTS-QSC20-MIC-C20-SX20-codec-/312654100902,"Brooklyn,NY,USA",,New – Open box,Conference Equipment,225,,-225,0,-1
Cisco/Polycom 2201-07155-603 (Sold Individually) Microphone,https://www.amazon.com/Cisco-Polycom-2201-07155-603-Sold-Individually/dp/B07CRNFQWY,PBX Phones & Systems,Office Products,[],[],,"New ~ CISCO External Conference Phone Microphone, 2201-07155-603",https://www.ebay.com/itm/New-CISCO-External-Conference-Phone-Microphone-2201-07155-603-/223457257304,"Idaho Falls,ID,USA",,New – Open box,Conference Equipment,9.95,,-9.95,0,-1
Cisco Telepresence Table Mic 20 - microphone CTS-MIC-TABL20 with Console Cable by Visipax,https://www.amazon.com/Cisco-Telepresence-Table-Mic-CTS-MIC-TABL20/dp/B01M16WIGQ,Audio Conferencing,Office Products,[],[],,Cisco Systems CTS-MIC-TABL20= Telepresence Table Mic 20 (ctsmictabl20=),https://www.ebay.com/itm/Cisco-Systems-CTS-MIC-TABL20-Telepresence-Table-Mic-20-ctsmictabl20-/233215672841,"Jonestown,PA,USA",,New,Conference Equipment,367.19,,-367.19,0,-1
Cisco Telepresence Table Mic 20 - microphone CTS-MIC-TABL20 with Console Cable by Visipax,https://www.amazon.com/Cisco-Telepresence-Table-Mic-CTS-MIC-TABL20/dp/B01M16WIGQ,Audio Conferencing,Office Products,[],[],,Cisco CTS-QSC20-MIC Telepresence Table Mic 20 (ctsmictabl20=) TTC5-06,https://www.ebay.com/itm/Cisco-CTS-QSC20-MIC-Telepresence-Table-Mic-20-ctsmictabl20-TTC5-06-/264425987724,"Nevada City,CA,USA",,New,Conference Equipment,239,,-239,0,-1
Cisco CTS-QSC20-MIC= Telepresence Precision Microphone 20,https://www.amazon.com/Cisco-CTS-QSC20-MIC-Telepresence-Precision-Microphone/dp/B005FUYDVW,Audio & Video Accessories,Electronics,[],[],,Cisco Telepresence Precision Microphone 20  CTS-QSC20-MIC= For C20 SX20 codec,https://www.ebay.com/itm/Cisco-Telepresence-Precision-Microphone-20-CTS-QSC20-MIC-C20-SX20-codec-/202812023067,"San Diego,CA,USA",,New – Open box,Conference Equipment,210,,-210,0,-1
